m;ep;C 
7;24.609;1.0000000000
7;25.101;1.0000000000
7;25.603;1.0000000000
7;26.115;1.0000000000
7;26.638;1.0000000000
7;27.170;1.0000000000
7;27.714;1.0000000000
7;28.268;1.0000000000
7;28.833;1.0000000000
7;29.410;1.0000000000
7;29.998;1.0000000000
7;30.598;1.0000000000
7;31.210;1.0000000000
7;31.834;1.0000000000
7;32.471;1.0000000000
7;33.121;1.0000000000
7;33.783;1.0000000000
7;34.459;1.0000000000
7;35.148;1.0000000000
7;35.851;1.0000000000
7;36.568;1.0000000000
7;37.299;1.0000000000
7;38.045;1.0000000000
7;38.806;1.0000000000
7;39.582;1.0000000000
7;40.374;1.0000000000
7;41.181;1.0000000000
7;42.005;1.0000000000
7;42.845;1.0000000000
7;43.702;1.0000000000
7;44.576;1.0000000000
7;45.467;1.0000000000
7;46.377;1.0000000000
7;47.304;1.0000000000
7;48.250;1.0000000000
7;49.215;1.0000000000
7;50.200;1.0000000000
7;51.204;1.0000000000
7;52.228;1.0000000000
7;53.272;1.0000000000
7;54.338;1.0000000000
7;55.425;1.0000000000
7;56.533;1.0000000000
7;57.664;1.0000000000
7;58.817;1.0000000000
7;59.993;1.0000000000
7;61.193;1.0000000000
7;62.417;1.0000000000
7;63.665;1.0000000000
7;64.939;1.0000000000
7;66.238;1.0000000000
7;67.562;1.0000000000
7;68.914;1.0000000000
7;70.292;1.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;nan;1.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;-1.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;-nan;1.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
7;0.000;0.0000000000
8;15.300;0.8563025210
8;15.606;0.8641456583
8;15.918;0.8711484594
8;16.236;0.8837535014
8;16.561;0.8899159664
8;16.892;0.8985994398
8;17.230;0.9039215686
8;17.575;0.9137254902
8;17.926;0.9268907563
8;18.285;0.9400560224
8;18.651;0.9526610644
8;19.024;0.9686274510
8;19.404;0.9803921569
8;19.792;0.9921568627
8;20.188;0.9983193277
8;20.592;1.0000000000
8;21.004;1.0000000000
8;21.424;1.0000000000
8;21.852;1.0000000000
8;22.289;1.0000000000
8;22.735;1.0000000000
8;23.190;1.0000000000
8;23.653;1.0000000000
8;24.127;1.0000000000
8;24.609;1.0000000000
8;25.101;1.0000000000
8;25.603;1.0000000000
8;26.115;1.0000000000
8;26.638;1.0000000000
8;27.170;1.0000000000
8;27.714;1.0000000000
8;28.268;1.0000000000
8;28.833;1.0000000000
8;29.410;1.0000000000
8;29.998;1.0000000000
8;30.598;1.0000000000
8;31.210;1.0000000000
8;31.834;1.0000000000
8;32.471;1.0000000000
8;33.121;1.0000000000
8;33.783;1.0000000000
8;34.459;1.0000000000
8;35.148;1.0000000000
8;35.851;1.0000000000
8;36.568;1.0000000000
8;37.299;1.0000000000
8;38.045;1.0000000000
8;38.806;1.0000000000
8;39.582;1.0000000000
8;40.374;1.0000000000
8;41.181;1.0000000000
8;42.005;1.0000000000
8;42.845;1.0000000000
8;43.702;1.0000000000
8;44.576;1.0000000000
8;45.467;1.0000000000
8;46.377;1.0000000000
8;47.304;1.0000000000
8;48.250;1.0000000000
8;49.215;1.0000000000
8;50.200;1.0000000000
8;51.204;1.0000000000
8;52.228;1.0000000000
8;53.272;1.0000000000
8;54.338;1.0000000000
8;55.425;1.0000000000
8;56.533;1.0000000000
8;57.664;1.0000000000
8;58.817;1.0000000000
8;59.993;1.0000000000
8;61.193;1.0000000000
8;62.417;1.0000000000
8;63.665;1.0000000000
8;64.939;1.0000000000
8;66.238;1.0000000000
8;67.562;1.0000000000
8;68.914;1.0000000000
8;70.292;1.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;nan;1.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;-1.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;-nan;1.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
8;0.000;0.0000000000
