m;ep;log_ep,log_C 
6;42.845;3.7575894478;0.0000000000
6;43.702;3.7773920751;0.0000000000
6;44.576;3.7971947024;0.0000000000
6;45.467;3.8169973297;0.0000000000
6;46.377;3.8367999570;0.0000000000
6;47.304;3.8566025843;0.0000000000
6;48.250;3.8764052116;0.0000000000
6;49.215;3.8962078389;0.0000000000
6;50.200;3.9160104662;0.0000000000
6;51.204;3.9358130935;0.0000000000
6;52.228;3.9556157208;0.0000000000
6;53.272;3.9754183481;0.0000000000
6;54.338;3.9952209754;0.0000000000
6;55.425;4.0150236027;0.0000000000
6;56.533;4.0348262299;0.0000000000
6;57.664;4.0546288572;0.0000000000
6;58.817;4.0744314845;0.0000000000
6;59.993;4.0942341118;0.0000000000
6;61.193;4.1140367391;0.0000000000
6;62.417;4.1338393664;0.0000000000
6;63.665;4.1536419937;0.0000000000
6;64.939;4.1734446210;0.0000000000
6;66.238;4.1932472483;0.0000000000
6;67.562;4.2130498756;0.0000000000
6;68.914;4.2328525029;0.0000000000
6;70.292;4.2526551302;0.0000000000
6;0.000;-inf;-inf
6;0.000;-716.2830112342;-inf
6;0.000;-716.2830112342;-inf
6;0.000;-716.2830112342;-inf
6;0.000;-716.2830112342;-inf
6;0.000;-711.8621899990;-inf
6;0.000;-716.2830112247;-inf
6;0.000;-719.0084095205;-inf
6;0.000;-716.2806156743;-inf
6;0.000;-716.2806156744;-inf
6;0.000;-740.2811888380;-inf
6;0.000;-716.2806156743;-inf
6;0.000;-711.8621899991;-inf
6;0.000;-116.1052151732;-inf
6;nan;nan;0.0000000000
6;0.000;-inf;-inf
6;0.000;-716.2806195492;-inf
6;0.000;-716.2806338044;-inf
6;0.000;-738.8988083762;-inf
6;0.000;-711.8621826258;-inf
6;0.000;-716.2806338829;-inf
6;0.000;-716.2806337421;-inf
6;0.000;-inf;-inf
6;0.000;-711.8621826516;-inf
6;0.000;-inf;-inf
6;0.000;-711.8621900122;-inf
6;0.000;-inf;-inf
6;0.000;-inf;-inf
6;-1.000;-nan(ind);-inf
6;0.000;-inf;-inf
6;0.000;-inf;-inf
6;0.000;-inf;-inf
6;0.000;-inf;-inf
6;0.000;-inf;-inf
6;0.000;-711.8621826259;-inf
6;0.000;-716.2806336573;-inf
6;0.000;-719.0404863186;-inf
6;0.000;-716.2806337218;-inf
6;0.000;-744.4400719214;-inf
6;0.000;-711.8621826510;-inf
6;0.000;-716.2808010406;-inf
6;0.000;-743.3414596327;-inf
6;0.000;-744.4400719214;-inf
6;0.000;-716.2808010406;-inf
6;0.000;-711.8621899990;-inf
6;0.000;-inf;-inf
6;0.000;-inf;-inf
6;0.000;-inf;-inf
6;0.000;-716.2807947673;-inf
6;0.000;-711.8621900137;-inf
6;0.000;-744.4400719214;-inf
6;0.000;-719.0084095349;-inf
6;0.000;-711.8621899990;-inf
6;0.000;-744.4400719214;-inf
6;0.000;-744.4400719214;-inf
6;0.000;-744.4400719214;-inf
6;0.000;-inf;-inf
6;0.000;-719.0084095363;-inf
6;0.000;-719.0084095364;-inf
6;0.000;-719.0084095208;-inf
6;0.000;-744.4400719214;-inf
6;0.000;-716.2830112342;-inf
6;0.000;-inf;-inf
6;0.000;-inf;-inf
6;0.000;-716.2807947673;-inf
6;0.000;-711.8621900099;-inf
6;0.000;-719.0084095234;-inf
6;0.000;-744.4400719214;-inf
6;0.000;-716.2806156741;-inf
6;0.000;-716.2806156743;-inf
6;0.000;-inf;-inf
6;-nan;-nan;0.0000000000
6;0.000;-740.2811888380;-inf
6;0.000;-741.6674831991;-inf
6;0.000;-744.4400719214;-inf
6;0.000;-inf;-inf
6;0.000;-716.2806336790;-inf
6;0.000;-716.2807999920;-inf
6;0.000;-716.2806337202;-inf
6;0.000;-743.3414596327;-inf
6;0.000;-711.8621826259;-inf
6;0.000;-716.2806367980;-inf
6;0.000;-716.2806195487;-inf
6;0.000;-716.2807997508;-inf
6;0.000;-716.2806195487;-inf
6;0.000;-711.8621826527;-inf
6;0.000;-716.2806336696;-inf
6;0.000;-741.9551652716;-inf
